Date	Number	Color	Category	Word 1	Word 2	Word 3	Word 4
Jul 8, 2023	27	Blue	 PARTS OF A BOOK: 	COVER 	JACKET 	PAGE 	SPINE
Jul 8, 2023	27	Green	 ORGANS: 	HEART 	KIDNEY 	LIVER 	LUNG
Jul 8, 2023	27	Purple	 JACK ___: 	ASS 	KNIFE 	POT 	RABBIT
Jul 8, 2023	27	Yellow	 HATS: 	BERET 	BOWLER 	FEDORA 	FEZ
Jul 9, 2023	28	Blue	 FLIGHTLESS BIRDS: 	EMU 	KIWI 	OSTRICH 	PENGUIN
Jul 9, 2023	28	Green	 FILE EXTENSIONS: 	GIF 	PDF 	TIFF 	ZIP
Jul 9, 2023	28	Purple	 TROPICAL FRUITS: 	BANANA 	COCONUT 	MANGO 	PINEAPPLE
Jul 9, 2023	28	Yellow	 SEVEN DWARFS: 	BASHFUL 	DOC 	GRUMPY 	HAPPY
Jul 10, 2023	29	Blue	 FISH: 	TANG 	TETRA 	SKATE 	SOLE
Jul 10, 2023	29	Green	 ARITHMETIC OPERATIONS: 	ADD 	DIVIDE 	MULTIPLY 	SUBTRACT
Jul 10, 2023	29	Purple	 ___ CAT: 	ALLEY 	COOL 	COPY 	LAP
Jul 10, 2023	29	Yellow	 WINGED INSECTS: 	FLY 	GNAT 	MOTH 	WASP
Jul 11, 2023	30	Blue	 JOINTS: 	HIP 	KNEE 	SHOULDER 	WRIST
Jul 11, 2023	30	Green	 PASTA SHAPES: 	BOWTIE 	ELBOW 	SHELL 	SPIRAL
Jul 11, 2023	30	Purple	 MOVIES WITH "!": 	AIRPLANE 	MOTHER 	OKLAHOMA 	THEM
Jul 11, 2023	30	Yellow	 NFL PLAYERS: 	BRONCO 	COWBOY 	PACKER 	RAVEN
Jul 12, 2023	31	Blue	 WORDS WITH "i": 	MAC 	PAD 	PHONE 	POD
Jul 12, 2023	31	Green	 3-D SHAPES: 	CONE 	CUBE 	PYRAMID 	SPHERE
Jul 12, 2023	31	Purple	 WORDS WITH TWO PRONUNCIATIONS: 	JOB 	LIMA 	MOBILE 	POLISH
Jul 12, 2023	31	Yellow	 VEGETABLES THAT ARE ALSO FRUITS: 	CUCUMBER 	EGGPLANT 	PEPPER 	TOMATO
Jul 13, 2023	32	Blue	 FICTIONAL SPIES: 	BOND 	HUNT 	RYAN 	SMART
Jul 13, 2023	32	Green	 BOARD GAMES: 	CLUE 	RISK 	SORRY 	TROUBLE
Jul 13, 2023	32	Purple	 RUBBER ___: 	BAND 	CEMENT 	DUCKIE 	SOUL
Jul 13, 2023	32	Yellow	 SHOE PARTS: 	HEEL 	LACE 	SOLE 	TONGUE
Jul 14, 2023	33	Blue	 CUTS OF BEEF: 	FLANK 	LOIN 	ROUND 	SHANK
Jul 14, 2023	33	Green	 SANDWICHES: 	CLUB 	CUBAN 	MELT 	SUB
Jul 14, 2023	33	Purple	 NICKNAMES THAT ARE VERBS: 	CHUCK 	JOSH 	ROB 	SUE
Jul 14, 2023	33	Yellow	 BOATS: 	FERRY 	JUNK 	TUG 	YACHT
Jul 15, 2023	34	Blue	 ROCK PAPER SCISSORS: 	PAPER 	ROCK 	SCISSORS 	SHOOT
Jul 15, 2023	34	Green	 MUSIC GENRES: 	BLUES 	COUNTRY 	FUNK 	SOUL
Jul 15, 2023	34	Purple	 MALE ANIMALS: 	BOAR 	BUCK 	BULL 	JACK
Jul 15, 2023	34	Yellow	 PLEASANT SMELLS: 	AROMA 	BOUQUET 	FRAGRANCE 	SCENT
Jul 16, 2023	35	Blue	 LUCKY CHARMS MARSHMALLOWS: 	CLOVER 	HORSESHOE 	MOON 	RAINBOW
Jul 16, 2023	35	Green	 METAL ELEMENTS: 	IRON 	LEAD 	TIN 	ZINC
Jul 16, 2023	35	Purple	 ___ AND ___: 	AGAIN 	HALF 	NECK 	SO
Jul 16, 2023	35	Yellow	 U.S. COINS: 	DIME 	NICKEL 	PENNY 	QUARTER
Jul 17, 2023	36	Blue	 SLANG FOR MONEY: 	CHEDDAR 	DOUGH 	PAPER 	STACKS
Jul 17, 2023	36	Green	 CHOCOLATE BARS: 	CHUNKY 	CRUNCH 	MARS 	MOUNDS
Jul 17, 2023	36	Purple	 NAKED ___: 	EYE 	GUN 	MOLE RAT 	TRUTH
Jul 17, 2023	36	Yellow	 MARSUPIALS: 	KANGAROO 	KOALA 	WALLABY 	WOMBAT
Jul 18, 2023	37	Blue	 SYNONYMS FOR SELL: 	HAWK 	MOVE 	PEDDLE 	VEND
Jul 18, 2023	37	Green	 BIKE PARTS: 	BRAKE 	CHAIN 	SADDLE 	SPOKE
Jul 18, 2023	37	Purple	 COUNTRIES WHEN "A" IS ADDED: 	CHIN 	CUB 	MALT 	TONG
Jul 18, 2023	37	Yellow	 MARINE MAMMALS: 	DOLPHIN 	MANATEE 	OTTER 	SEAL
Jul 19, 2023	38	Blue	 BAGEL FLAVORS: 	EVERYTHING 	ONION 	PLAIN 	POPPY
Jul 19, 2023	38	Green	 LAND FORMATIONS: 	HILL 	MOUNTAIN 	PLATEAU 	VALLEY
Jul 19, 2023	38	Purple	 STREETS ON SCREEN: 	ELM 	FEAR 	JUMP 	SESAME
Jul 19, 2023	38	Yellow	 TREES: 	ASH 	CEDAR 	MAPLE 	PINE
Jul 20, 2023	39	Blue	 UNITS OF MEASURE: 	HERTZ 	MOLE 	NEWTON 	SECOND
Jul 20, 2023	39	Green	 HAIRSTYLES: 	BOB 	CROP 	PIXIE 	SHAG
Jul 20, 2023	39	Purple	 DR. ___: 	EVIL 	J 	NO 	PEPPER
Jul 20, 2023	39	Yellow	 TIMEKEEPING DEVICES: 	CLOCK 	HOURGLASS 	SUNDIAL 	WATCH
Jul 21, 2023	40	Blue	 SUNGLASSES: 	AVIATOR 	CAT EYE 	WAYFARER 	WRAPAROUND
Jul 21, 2023	40	Green	 COVERINGS: 	CAP 	COVER 	LID 	TOP
Jul 21, 2023	40	Purple	 SEALS: 	HARBOR 	HARP 	HOODED 	MONK
Jul 21, 2023	40	Yellow	 WOODWINDS: 	BASSOON 	CLARINET 	FLUTE 	OBOE
Jul 22, 2023	41	Blue	 ISLAND COUNTRIES: 	CUBA 	JAPAN 	MALTA 	PALAU
Jul 22, 2023	41	Green	 SLANG FOR COFFEE: 	BREW 	JAVA 	JOE 	MUD
Jul 22, 2023	41	Purple	 CEREAL MASCOTS: 	LUCKY 	POP 	SAM 	TONY
Jul 22, 2023	41	Yellow	 BOTTLED WATER BRANDS: 	DASANI 	EVIAN 	FIJI 	VOSS
Jul 23, 2023	42	Blue	 RUN QUICKLY: 	BOLT 	DASH 	RACE 	SPRINT
Jul 23, 2023	42	Green	 PUNCTUATION MARKS: 	COLON 	COMMA 	HYPHEN 	PERIOD
Jul 23, 2023	42	Purple	 ___ CAT: 	DOJA 	FAT 	HOUSE 	JUNGLE
Jul 23, 2023	42	Yellow	 SCUBA GEAR: 	FINS 	MASK 	SNORKEL 	TANK
Jul 24, 2023	43	Blue	 MARINE BIRDS: 	BOOBY 	GULL 	PELICAN 	PUFFIN
Jul 24, 2023	43	Green	 THINGS THAT ARE YELLOW: 	BANANA 	CANARY 	SCHOOL BUS 	SUNFLOWER
Jul 24, 2023	43	Purple	 ___ BOYS: 	BEACH 	BEASTIE 	HARDY 	LOST
Jul 24, 2023	43	Yellow	 SYNONYMS FOR ANGRY: 	FURIOUS 	INCENSED 	IRATE 	LIVID
Jul 25, 2023	44	Blue	 DEFEAT BADLY: 	CRUSH 	ROUT 	SHELLAC 	TRASH
Jul 25, 2023	44	Green	 EDIT MENU COMMANDS: 	COPY 	CUT 	PASTE 	UNDO
Jul 25, 2023	44	Purple	 ANAGRAMS: 	LEAST 	SLATE 	STALE 	TESLA
Jul 25, 2023	44	Yellow	 STATES OF MATTER: 	GAS 	LIQUID 	PLASMA 	SOLID
Jul 26, 2023	45	Blue	 FAST FOOD CHAINS: 	CHECKERS 	OUTBACK 	SONIC 	SUBWAY
Jul 26, 2023	45	Green	 NBA PLAYERS: 	KING 	MAGIC 	SUN 	THUNDER
Jul 26, 2023	45	Purple	 BAND NAMES MINUS COLORS: 	DAY 	FLOYD 	SABBATH 	STRIPES
Jul 26, 2023	45	Yellow	 MODES OF TRANSPORTATION: 	BOAT 	CAR 	PLANE 	TRAIN
Jul 27, 2023	46	Blue	 STORMS: 	BLIZZARD 	CYCLONE 	SQUALL 	TORNADO
Jul 27, 2023	46	Green	 FASHION MAGAZINES: 	ALLURE 	ELLE 	GLAMOUR 	W
Jul 27, 2023	46	Purple	 COCKTAILS: 	COSMOPOLITAN 	HURRICANE 	MANHATTAN 	SCREWDRIVER
Jul 27, 2023	46	Yellow	 MOVIE TITLE CITIES: 	CHICAGO 	MUNICH 	PHILADELPHIA 	RIO
Jul 28, 2023	47	Blue	 YOGA POSES: 	COBRA 	LOTUS 	TREE 	WARRIOR
Jul 28, 2023	47	Green	 LIZARDS: 	CHAMELEON 	GECKO 	IGUANA 	MONITOR
Jul 28, 2023	47	Purple	 DANCES WHEN DOUBLED: 	CAN 	CHA 	GO 	NAE
Jul 28, 2023	47	Yellow	 BIOMES: 	DESERT 	FOREST 	GRASSLAND 	TUNDRA
Jul 29, 2023	48	Blue	 SYNONYMS FOR BOTHER: 	NEEDLE 	POKE 	RIB 	TEASE
Jul 29, 2023	48	Green	 APPARITIONS: 	GHOST 	PHANTOM 	SPECTER 	SPIRIT
Jul 29, 2023	48	Purple	 DISNEY CHARACTERS: 	BEAST 	GENIE 	SCAR 	STITCH
Jul 29, 2023	48	Yellow	 FABRICS: 	CORDUROY 	DENIM 	LINEN 	TWEED
Jul 30, 2023	49	Blue	 DISNEY DUCKS: 	DAISY 	DEWEY 	DONALD 	SCROOGE
Jul 30, 2023	49	Green	 SYNONYMS FOR OFFBEAT: 	DAFFY 	KOOKY 	QUIRKY 	WACKY
Jul 30, 2023	49	Purple	 ___ CLOCK: 	ALARM 	BIOLOGICAL 	CUCKOO 	GRANDFATHER
Jul 30, 2023	49	Yellow	 RELATIVES: 	AUNT 	COUSIN 	MOTHER 	NEPHEW
Jul 31, 2023	50	Blue	 DEEP-FRIED FOOD: 	FALAFEL 	KATSU 	SAMOSA 	SCHNITZEL
Jul 31, 2023	50	Green	 TYPES OF PAINT: 	ACRYLIC 	OIL 	TEMPERA 	WATERCOLOR
Jul 31, 2023	50	Purple	 STARTS OF U.S. COINS: 	DIM 	NICK 	PEN 	QUART
Jul 31, 2023	50	Yellow	 UNITS OF LENGTH: 	FOOT 	INCH 	MILE 	YARD
Aug 1, 2023	51	Blue	 VAMPIRE MOVIES: 	BLADE 	LOST BOYS 	NEAR DARK 	TWILIGHT
Aug 1, 2023	51	Green	 DATING APPS: 	BUMBLE 	HINGE 	MATCH 	TINDER
Aug 1, 2023	51	Purple	 ADAMS: 	ANT 	DRIVER 	SCOTT 	WEST
Aug 1, 2023	51	Yellow	 LONG SANDWICHES: 	HERO 	HOAGIE 	GRINDER 	SUB
Aug 2, 2023	52	Blue	 MUSICAL INSTRUMENTS: 	HARP 	HORN 	ORGAN 	TRIANGLE
Aug 2, 2023	52	Green	 RODENTS: 	GERBIL 	HAMSTER 	RAT 	VOLE
Aug 2, 2023	52	Purple	 SYNONYMS FOR COMPLAIN: 	CARP 	GRIPE 	GROUSE 	MOAN
Aug 2, 2023	52	Yellow	 COMPUTER EQUIPMENT: 	KEYBOARD 	MONITOR 	MOUSE 	SPEAKER
Aug 3, 2023	53	Blue	 AP CLASSES: 	BIO 	CHEM 	GOV 	STATS
Aug 3, 2023	53	Green	 STONED: 	BAKED 	BLAZED 	HIGH 	LIT
Aug 3, 2023	53	Purple	 TAXONOMY RANKS: 	CLASS 	DOMAIN 	FAMILY 	ORDER
Aug 3, 2023	53	Yellow	 ANIMAL GROUP NAMES: 	COLONY 	HERD 	PRIDE 	SWARM
Aug 4, 2023	54	Blue	 PRESIDENTIAL FIRST NAMES: 	CALVIN 	CHESTER 	GROVER 	HARRY
Aug 4, 2023	54	Green	 CARTOON CATS: 	FELIX 	GARFIELD 	SYLVESTER 	TOM
Aug 4, 2023	54	Purple	 ___ ROAD: 	ABBEY 	HIGH 	ROCKY 	SILK
Aug 4, 2023	54	Yellow	 PLACES FOR WORSHIP: 	ALTAR 	RELIQUARY 	SHRINE 	TEMPLE
Aug 5, 2023	55	Blue	 SHAKESPEARE CHARACTERS: 	DUNCAN 	JULIET 	PUCK 	VIOLA
Aug 5, 2023	55	Green	 WORDS WITH THREE G'S: 	BAGGAGE 	EGGNOG 	GIGGLE 	LEGGINGS
Aug 5, 2023	55	Purple	 ___ STICK: 	FISH 	HOCKEY 	MEMORY 	SELFIE
Aug 5, 2023	55	Yellow	 CLASSIC TOYS: 	BLOCKS 	DOLL 	TOP 	YO-YO
Aug 6, 2023	56	Blue	 TOUCHSCREEN GESTURES: 	PINCH 	SPREAD 	SWIPE 	TAP
Aug 6, 2023	56	Green	 DANCES: 	HUSTLE 	SALSA 	SWING 	TANGO
Aug 6, 2023	56	Purple	 RAPPERS MINUS NUMBERS: 	CENT 	CHAINZ 	PAC 	SAVAGE
Aug 6, 2023	56	Yellow	 CLASSIC ARCADE GAMES: 	ASTEROIDS 	BREAKOUT 	FROGGER 	PONG
Aug 7, 2023	57	Blue	 SYNONYMS FOR FALSEHOOD: 	FIB 	FICTION 	LIE 	TALE
Aug 7, 2023	57	Green	 PATTERNS: 	HOUNDSTOOTH 	PAISLEY 	PLAID 	STRIPES
Aug 7, 2023	57	Purple	 CANDY PIECES: 	DOT 	GOOBER 	KISS 	WHOPPER
Aug 7, 2023	57	Yellow	 MOVIE GENRES: 	HORROR 	MUSICAL 	ROMANCE 	WESTERN
Aug 8, 2023	58	Blue	 SUPERHEROES: 	BLACK WIDOW 	BLADE 	FLASH 	STORM
Aug 8, 2023	58	Green	 FISH: 	CHAR 	EEL 	PERCH 	SHARK
Aug 8, 2023	58	Purple	 MTV SHOWS: 	CATFISH 	CRIBS 	JACKASS 	STATE
Aug 8, 2023	58	Yellow	 ARACHNIDS: 	MITE 	SCORPION 	SPIDER 	TICK
Aug 9, 2023	59	Blue	 NEWSPAPERS: 	GLOBE 	JOURNAL 	POST 	SUN
Aug 9, 2023	59	Green	 CELESTIAL OBJECTS: 	ASTEROID 	COMET 	MOON 	PLANET
Aug 9, 2023	59	Purple	 FRUIT HOMOPHONES: 	LYME 	MELLON 	PAIR 	PLUMB
Aug 9, 2023	59	Yellow	 UNSPECIFIED QUANTITIES: 	FEW 	HANDFUL 	SEVERAL 	SOME
Aug 10, 2023	60	Blue	 MAKE HAPPY: 	CHARM 	DELIGHT 	PLEASE 	TICKLE
Aug 10, 2023	60	Green	 SPORTS VENUES: 	COURT 	DIAMOND 	FIELD 	RINK
Aug 10, 2023	60	Purple	 JEWELRY: 	ANKLET 	BANGLE 	BROOCH 	PENDANT
Aug 10, 2023	60	Yellow	 HORROR FRANCHISES: 	PURGE 	RING 	SAW 	SCREAM
Aug 11, 2023	61	Blue	 AUSTRALIAN TERMS: 	BARBIE 	BUSH 	CRIKEY 	MATE
Aug 11, 2023	61	Green	 TALENT: 	FACULTY 	FLAIR 	GENIUS 	GIFT
Aug 11, 2023	61	Purple	 ___ POINT: 	MATCH 	MOOT 	SELLING 	WEST
Aug 11, 2023	61	Yellow	 THEORETICAL PHYSICISTS: 	EINSTEIN 	FEYNMAN 	HAWKING 	OPPENHEIMER
Aug 12, 2023	62	Blue	 GREEK LETTERS: 	MU 	NU 	PI 	XI
Aug 12, 2023	62	Green	 MUSICAL NOTES: 	DO 	FA 	LA 	TI
Aug 12, 2023	62	Purple	 PERIODIC TABLE SYMBOLS: 	FE 	HE 	NA 	NI
Aug 12, 2023	62	Yellow	 STATE ABBREVIATIONS: 	CO 	MA 	ME 	PA
Aug 13, 2023	63	Blue	 GYM EXERCISES: 	CURL 	LUNGE 	PLANK 	PRESS
Aug 13, 2023	63	Green	 SLANG FOR ZERO: 	JACK 	NADA 	NOTHING 	SQUAT
Aug 13, 2023	63	Purple	 CAPTAINS: 	CRUNCH 	KANGAROO 	OBVIOUS 	PLANET
Aug 13, 2023	63	Yellow	 FASTENING VERBS: 	BUCKLE 	BUTTON 	SNAP 	ZIP
Aug 14, 2023	64	Blue	 FISHING TERMS: 	BAIT 	CHUM 	FLY 	SINKER
Aug 14, 2023	64	Green	 PERCEIVE: 	CATCH 	NOTICE 	OBSERVE 	SEE
